0,1,2
CT,800,4000
CT,2050,11750
CT,3550,19400
CT,3650,21400
CT,3750,27350
CT,4750,24900
CT,2000,10800
CT,2800,16050
CT,4700,21800
CT,4150,19800
CT,4100,26000
CT,3900,20200
TERRORIST,800,4000
TERRORIST,2350,10950
TERRORIST,2550,13150
TERRORIST,4750,25900
TERRORIST,2650,24500
TERRORIST,2550,13800
TERRORIST,3150,14950
