0,1,2
TERRORIST,800,4000
TERRORIST,3650,18750
TERRORIST,1550,9600
TERRORIST,2200,11300
TERRORIST,4100,21200
TERRORIST,3950,18150
TERRORIST,3300,20000
TERRORIST,5850,34800
TERRORIST,4600,40900
TERRORIST,5600,40300
TERRORIST,2600,23650
TERRORIST,4450,19950
CT,800,4000
CT,4550,19600
CT,3550,20200
CT,4350,21200
CT,4050,21950
CT,3500,21200
CT,5350,28850
